rule_id,signal,rule_type,pattern,universe,status,role_seed,side_seed,quality_seed,score_base,action,n,avg10d_pct,med10d_pct,fail10d_pct,source_file,notes
T1_BASELINE_SP500,T1,BASELINE,T1,SP500,LONG B / WATCH,NO_EDGE,CONTEXT,LONG B / WATCH,0,No standalone edge.,,,0.403,16.376,T1_analytics.docx,T1L12EB/T1L3EB + Z5/Z4 prev + VB vol
T1_BASELINE_NASDAQ_GT5,T1,BASELINE,T1,NASDAQ >$5,WATCH only,NO_EDGE,CONTEXT,WATCH only,0,No standalone edge.,,,0.145,25.723,T1_analytics.docx,T1L12EB + Z5/Z1G prev + $20-150 price
T1_SP500_COMPOSITE_001,T1,COMPOSITE,T1L12NP,SP500,GOOD,BULL_B,BULLISH_TRIGGER,GOOD,55,Bullish trigger candidate; needs context confirmation.,212,2.003,1.867,16.981,T1_analytics.docx,Composite rule seed from T1_analytics.docx
T1_SP500_COMPOSITE_002,T1,COMPOSITE,T1L3EB,SP500,GOOD,BULL_B,BULLISH_TRIGGER,GOOD,55,Bullish trigger candidate; needs context confirmation.,384,0.973,1.263,14.844,T1_analytics.docx,Composite rule seed from T1_analytics.docx
T1_SP500_COMPOSITE_003,T1,COMPOSITE,T1L12EB,SP500,GOOD,BULL_B,BULLISH_TRIGGER,GOOD,55,Bullish trigger candidate; needs context confirmation.,194,0.91,0.933,14.948,T1_analytics.docx,Composite rule seed from T1_analytics.docx
T1_SP500_COMPOSITE_004,T1,COMPOSITE,T1L34NU,SP500,GOOD,BULL_B,BULLISH_TRIGGER,GOOD,55,Bullish trigger candidate; needs context confirmation.,317,0.997,0.859,14.196,T1_analytics.docx,Composite rule seed from T1_analytics.docx
T1_SP500_COMPOSITE_005,T1,COMPOSITE,T1L34NUR,SP500,GOOD,BULL_B,BULLISH_TRIGGER,GOOD,55,Bullish trigger candidate; needs context confirmation.,245,0.859,0.847,15.918,T1_analytics.docx,Composite rule seed from T1_analytics.docx
T1_SP500_COMPOSITE_006,T1,COMPOSITE,T1L3EU,SP500,AVERAGE,BULL_WATCH,BULLISH_CONTEXT,AVERAGE,35,Average T signal; use only with confirming composite/sequence/EMA/price-position.,1455,1.201,0.716,16.838,T1_analytics.docx,Composite rule seed from T1_analytics.docx
T1_SP500_COMPOSITE_007,T1,COMPOSITE,T1L34NDP,SP500,AVERAGE,BULL_WATCH,BULLISH_CONTEXT,AVERAGE,35,Average T signal; use only with confirming composite/sequence/EMA/price-position.,181,0.552,0.683,16.575,T1_analytics.docx,Composite rule seed from T1_analytics.docx
T1_SP500_COMPOSITE_008,T1,COMPOSITE,T1L34NB,SP500,AVERAGE,BULL_WATCH,BULLISH_CONTEXT,AVERAGE,35,Average T signal; use only with confirming composite/sequence/EMA/price-position.,147,-0.183,0.359,23.81,T1_analytics.docx,Composite rule seed from T1_analytics.docx
T1_SP500_COMPOSITE_009,T1,COMPOSITE,T1L12EUR,SP500,AVERAGE,BULL_WATCH,BULLISH_CONTEXT,AVERAGE,35,Average T signal; use only with confirming composite/sequence/EMA/price-position.,759,0.663,0.343,15.283,T1_analytics.docx,Composite rule seed from T1_analytics.docx
T1_SP500_COMPOSITE_010,T1,COMPOSITE,T1L12NU,SP500,AVERAGE,BULL_WATCH,BULLISH_CONTEXT,AVERAGE,35,Average T signal; use only with confirming composite/sequence/EMA/price-position.,341,0.32,0.332,21.114,T1_analytics.docx,Composite rule seed from T1_analytics.docx
T1_SP500_REJECT_COMPOSITE_001,T1,REJECT_COMPOSITE,T1L12NDP,SP500,REJECT,SHORT_WATCH,BEARISH_CANDIDATE,REJECT,-40,Long-reject pattern. Promote to SHORT_GO only after breakdown confirmation.,232,0.076,-0.057,17.672,T1_analytics.docx,Composite rule seed from T1_analytics.docx
T1_SP500_REJECT_COMPOSITE_002,T1,REJECT_COMPOSITE,T1L12NH,SP500,REJECT,SHORT_WATCH,BEARISH_CANDIDATE,REJECT,-40,Long-reject pattern. Promote to SHORT_GO only after breakdown confirmation.,316,0.068,-0.081,15.823,T1_analytics.docx,Composite rule seed from T1_analytics.docx
T1_SP500_REJECT_COMPOSITE_003,T1,REJECT_COMPOSITE,T1L34NH,SP500,REJECT,SHORT_WATCH,BEARISH_CANDIDATE,REJECT,-40,Long-reject pattern. Promote to SHORT_GO only after breakdown confirmation.,143,-0.649,-0.153,17.483,T1_analytics.docx,Composite rule seed from T1_analytics.docx
T1_SP500_REJECT_COMPOSITE_004,T1,REJECT_COMPOSITE,T1L34NP,SP500,REJECT,SHORT_WATCH,BEARISH_CANDIDATE,REJECT,-40,Long-reject pattern. Promote to SHORT_GO only after breakdown confirmation.,111,0.087,-0.238,19.82,T1_analytics.docx,Composite rule seed from T1_analytics.docx
T1_NASDAQ_GT5_COMPOSITE_001,T1,COMPOSITE,T1L12EB,NASDAQ_GT5,AVERAGE,BULL_WATCH,BULLISH_CONTEXT,AVERAGE,35,Average T signal; use only with confirming composite/sequence/EMA/price-position.,532,0.678,0.871,23.308,T1_analytics.docx,Composite rule seed from T1_analytics.docx
T1_NASDAQ_GT5_COMPOSITE_002,T1,COMPOSITE,T1L34NDP,NASDAQ_GT5,AVERAGE,BULL_WATCH,BULLISH_CONTEXT,AVERAGE,35,Average T signal; use only with confirming composite/sequence/EMA/price-position.,537,5.926,0.601,21.229,T1_analytics.docx,Composite rule seed from T1_analytics.docx
T1_NASDAQ_GT5_COMPOSITE_003,T1,COMPOSITE,T1L34NUR,NASDAQ_GT5,REJECT,SHORT_WATCH,BEARISH_CANDIDATE,REJECT,-40,Long-reject pattern. Promote to SHORT_GO only after breakdown confirmation.,701,0.751,0.508,26.676,T1_analytics.docx,Composite rule seed from T1_analytics.docx
T1_NASDAQ_GT5_COMPOSITE_004,T1,COMPOSITE,T1L12EU,NASDAQ_GT5,AVERAGE,BULL_WATCH,BULLISH_CONTEXT,AVERAGE,35,Average T signal; use only with confirming composite/sequence/EMA/price-position.,2798,0.882,0.406,22.123,T1_analytics.docx,Composite rule seed from T1_analytics.docx
T1_NASDAQ_GT5_COMPOSITE_005,T1,COMPOSITE,T1L12NU,NASDAQ_GT5,REJECT,SHORT_WATCH,BEARISH_CANDIDATE,REJECT,-40,Long-reject pattern. Promote to SHORT_GO only after breakdown confirmation.,966,1.483,0.275,25.466,T1_analytics.docx,Composite rule seed from T1_analytics.docx
T1_NASDAQ_GT5_COMPOSITE_006,T1,COMPOSITE,T1L3EU,NASDAQ_GT5,REJECT,SHORT_WATCH,BEARISH_CANDIDATE,REJECT,-40,Long-reject pattern. Promote to SHORT_GO only after breakdown confirmation.,4740,0.493,0.231,26.329,T1_analytics.docx,Composite rule seed from T1_analytics.docx
T1_NASDAQ_GT5_COMPOSITE_007,T1,COMPOSITE,T1L34NH,NASDAQ_GT5,REJECT,SHORT_WATCH,BEARISH_CANDIDATE,REJECT,-40,Long-reject pattern. Promote to SHORT_GO only after breakdown confirmation.,403,-0.718,0.177,25.062,T1_analytics.docx,Composite rule seed from T1_analytics.docx
T1_NASDAQ_GT5_COMPOSITE_008,T1,COMPOSITE,T1L12EUR,NASDAQ_GT5,AVERAGE,BULL_WATCH,BULLISH_CONTEXT,AVERAGE,35,Average T signal; use only with confirming composite/sequence/EMA/price-position.,1919,0.615,0.141,24.179,T1_analytics.docx,Composite rule seed from T1_analytics.docx
T1_NASDAQ_GT5_COMPOSITE_009,T1,COMPOSITE,T1L12NB,NASDAQ_GT5,AVERAGE,BULL_WATCH,BULLISH_CONTEXT,AVERAGE,35,Average T signal; use only with confirming composite/sequence/EMA/price-position.,316,0.937,0.068,22.152,T1_analytics.docx,Composite rule seed from T1_analytics.docx
T1_NASDAQ_GT5_COMPOSITE_010,T1,COMPOSITE,T1L12NUR,NASDAQ_GT5,REJECT,SHORT_WATCH,BEARISH_CANDIDATE,REJECT,-40,Long-reject pattern. Promote to SHORT_GO only after breakdown confirmation.,813,1.545,0.04,26.691,T1_analytics.docx,Composite rule seed from T1_analytics.docx
T1_NASDAQ_GT5_REJECT_COMPOSITE_001,T1,REJECT_COMPOSITE,T1L12NDP,NASDAQ_GT5,REJECT,SHORT_WATCH,BEARISH_CANDIDATE,REJECT,-40,Long-reject pattern. Promote to SHORT_GO only after breakdown confirmation.,673,0.525,0.0,27.192,T1_analytics.docx,Composite rule seed from T1_analytics.docx
